cleaned_messages,MessageType
Kaduvulae.... Unaku mattum engendhu dha ... Ipdila sudden twists varumoooo,Non-Flirt
,Non-Flirt
Ippo Inna thani thaniya va irukinga,Non-Flirt
Plan in future ...,Non-Flirt
Avar thani room la irukanu sonanga..,Non-Flirt
Hummmmmm,Non-Flirt
Pillow vechitu thoonga sonanga.. jus to avoid his contact..,Non-Flirt
He is so scared that i shud also not get affected,Non-Flirt
So safe uh dan irukan,Non-Flirt
Hummmmm,Non-Flirt
Free ah vidu ...,Flirt
K k..,Non-Flirt
Nee oaaru,Non-Flirt
Result vanthone,Non-Flirt
Solren,Non-Flirt
,Non-Flirt
Hum,Non-Flirt
At wat tym,Non-Flirt
Resul is coming,Non-Flirt
Evening before 6 varumnu solirukanga,Non-Flirt
Ok,Non-Flirt
Ok,Non-Flirt
Bye,Non-Flirt
Bye,Non-Flirt
Olunga sapdu,Non-Flirt
Yes u too,Non-Flirt
Poor,Non-Flirt
Inna aachu result,Non-Flirt
Positive,Flirt
All plans cancelled,Non-Flirt
Oh ....,Non-Flirt
,Non-Flirt
Take positive ...,Flirt
🥺,Non-Flirt
,Non-Flirt
Hey,Non-Flirt
Quarantine over ah,Non-Flirt
Epdi iruka,Non-Flirt
Jay epdi irukaru,Non-Flirt
Jan 5th dan over,Non-Flirt
He is fine but cough matum iruku,Non-Flirt
Hummm...,Non-Flirt
?,Non-Flirt
Naa iruken..,Non-Flirt
I miss ma home and mom,Non-Flirt
After marg oru vati kuda pola,Non-Flirt
Avangalum quarantine la vanthu poga mudiyama poiduchu,Non-Flirt
Ohhh,Non-Flirt
Inna panradhu ...,Non-Flirt
Nee epdi iruka,Non-Flirt
Romba kashtam,Non-Flirt
Utsav kutty epdi irukan,Non-Flirt
Nalla irukom,Non-Flirt
Ne olunga saapudriya,Non-Flirt
Jan 5 th poi paaru,Non-Flirt
Athu matum dan seiren..,Non-Flirt
Saptu saptu sleeping,Non-Flirt
Unga mamiyar mamanar ok va,Non-Flirt
Jan 16th dan ponum.. margazhi la po kudatham,Non-Flirt
Adapaavingala...,Non-Flirt
Seri Jan 5 th avangala vara sollu,Non-Flirt
Kadupaguthu,Non-Flirt
Hummmmmm,Non-Flirt
Adhellam kandipa illama irukadu...,Non-Flirt
Office work start paniten.. so avangala pesina ketupen..,Non-Flirt
Hummmm,Non-Flirt
Ok ok,Flirt
Gud,Non-Flirt
Sunday night sema azhugai,Non-Flirt
Ennnnn?,Non-Flirt
Room vitu kuda velila vara matranu avanga paiyan,Non-Flirt
We haven't start to live even de,Non-Flirt
Hummmmmm......,Non-Flirt
He is in quarantine,Non-Flirt
Seri vidu,Non-Flirt
Irunthum ena vechi blame pani pesuranga,Non-Flirt
Indha kadhula vaangi andha kadhula vitru,Non-Flirt
Atha dan panren.. ethayume consider panrathila.. office work la concentrate paniduven ithu mathiri conversation varapo...,Non-Flirt
Ne vaya thorandhadha ... Prechana perisakiduvanga,Non-Flirt
Yes atha purinjikuten before marg eh.. Naa pesinathu dan thappu nu kadaisila amma vum paiyan un sernthupanga...,Non-Flirt
Naa safe uh iruken from ma point of view,Non-Flirt
Ok ...pllolachipa,Non-Flirt
Polachipa,Non-Flirt
,Non-Flirt
🤣🤣,Non-Flirt
Thoonga porom,Non-Flirt
Neeyum thoongu,Non-Flirt
Gud nit,Non-Flirt
Good night de,Non-Flirt
Hey,Non-Flirt
Inna moochi peche kanum,Non-Flirt
Chennai ku vandhiya .. illa settle aayitingala angayae,Non-Flirt
Vantom de,Non-Flirt
Ivanga perima ponnu kalyanam,Non-Flirt
Athuku poojai started from yesterday,Non-Flirt
Athukaga alanjitu irukom,Non-Flirt
Nadula office work vera,Non-Flirt
Will call u today,Non-Flirt
It's ok it's ok... Gohead,Non-Flirt
Adiyei,Non-Flirt
Hey,Non-Flirt
Epo reply panra paaru,Non-Flirt
Hey one min kooda na free illa,Flirt
Ippodha free aanae,Flirt
Yen de,Non-Flirt
Inum construction work mudilaya?,Non-Flirt
Inga room kattrom la,Non-Flirt
Plus inga azhaghula guest vera,Non-Flirt
Thindadren,Non-Flirt
Aiyaya,Non-Flirt
Mudiyala,Non-Flirt
Therithu,Non-Flirt
Saptiya nee,Non-Flirt
Yes ippodha,Non-Flirt
Time 11 aavapothy,Non-Flirt
Ipo dan saptiya!,Non-Flirt
,Non-Flirt
Too bad,Non-Flirt
Ask anna to help u,Non-Flirt
Chuma dan ping panen,Non-Flirt
Free uh iruntha pesalamnu ketka,Flirt
,Non-Flirt
Ipo poi take resr,Non-Flirt
Nalaiku pesalam,Non-Flirt
Ippo free dha... But semma tyrd..,Non-Flirt
Enakum office call la iruken ipi,Non-Flirt
Can't talk,Non-Flirt
Ok ok,Flirt
Day la free uh irupen,Flirt
Nalaiku pesuren,Non-Flirt
U sleep now,Non-Flirt
Good night re,Non-Flirt
Ok poor,Non-Flirt
Gud nit,Non-Flirt
Happy Anniversary de,Flirt
U look beautiful,Flirt
Thankuuuu.... 🥰🥰,Non-Flirt
Check out this on Justdial!,Non-Flirt
Nearby dan,Non-Flirt
But 1 week potum,Non-Flirt
Next week poi pakuren de,Non-Flirt
Mmmm,Non-Flirt
Next week dha po...,Non-Flirt
Hey priya,Non-Flirt
Oru doubt de,Non-Flirt
Inna pooooor,Non-Flirt
Hey meera bai meet panom today,Non-Flirt
Iniku mayanki konjam thadumarinen,Non-Flirt
Urine test negative,Non-Flirt
Blood test given,Non-Flirt
Nalaiku theriyum,Non-Flirt
Can we do intercourse uh de?,Non-Flirt
Not at all.....,Non-Flirt
Okay de,Non-Flirt
Good morning,Non-Flirt
Hey priya,Non-Flirt
,Non-Flirt
No no ...,Non-Flirt
Edhachu complications irundha mattumdha vaginal scal pannuvanga...,Non-Flirt
Neee edha nanachum bayapudadha,Non-Flirt
Edhapathiyum yosikama... Mind free ah vechiko.. adhudha romba mukkiyam,Flirt
Scan,Non-Flirt
Ila ipove scan ponenla,Non-Flirt
Athan bayama irunthuchu,Non-Flirt
Epdi iruka poor,Non-Flirt
Fine de,Non-Flirt
Normal uh iruken,Non-Flirt
No symptoms,Non-Flirt
Ok ok ...,Flirt
Gud,Non-Flirt
Sometimes i forget that I'm pregnant🤣,Non-Flirt
Especially last 2 days,Non-Flirt
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,Non-Flirt
U?,Non-Flirt
Enaku inna,Non-Flirt
Hw r u,Non-Flirt
Gud gud,Non-Flirt
,Non-Flirt
You deleted this message,Non-Flirt
Dr.Nithya Clinic.vcf (file attached),Non-Flirt
Hey priya,Non-Flirt
Delivery ku evlo de aachu?,Non-Flirt
Isabel - 50k for normal,Non-Flirt
Ok ok,Flirt
No hidden charges la,Non-Flirt
We went to Nithya Srivastan today,Non-Flirt
She is also gng to motherhood and cloudnine,Non-Flirt
Wats ur opinion on this?,Non-Flirt
Place ?,Non-Flirt
Alwarpet and t nagar,Non-Flirt
Oh ...,Non-Flirt
Isabel enga veetla irunthu romba thooramla,Non-Flirt
Athan yosichok,Non-Flirt
Hummmm,Non-Flirt
Andha hospitals pathi enaku edhumae therila ...,Non-Flirt
Motherhood poi parthom...,Non-Flirt
80k solran,Non-Flirt
5years back 50k,Non-Flirt
Ippo kandipa erirkum,Non-Flirt
Ashim after corona,Non-Flirt
Adhum,Non-Flirt
Hmmm,Non-Flirt
Dp la yende kulanthai bayanthu poi irukan...,Non-Flirt
Belated bday wishes to kutty,Non-Flirt
Nalla thoongitan... Athan,Non-Flirt
Innikudha bday,Non-Flirt
<Media omitted>,Non-Flirt
Happy' bday to kutty..,Flirt
5yrs aacha,Non-Flirt
Yes ....,Non-Flirt
,Non-Flirt
Hey pooor,Non-Flirt
Muttal,Non-Flirt
Cal me,Non-Flirt
Reqched home priya,Non-Flirt
I'm safe,Non-Flirt
Sorry for bothering you,Non-Flirt
Will call u later,Non-Flirt
,Non-Flirt
Adiyaei,Non-Flirt
Unaku onnumillala,Non-Flirt
I'm good..,Non-Flirt
Bayandhuten konja nerathula,Non-Flirt
Pisasu,Non-Flirt
En ipdi panna ..,Non-Flirt
Phone ipo dan on panen,Non-Flirt
Athan,Non-Flirt
Sandai dan,Non-Flirt
Veetlendhu vara alavuka,Non-Flirt
Avanga amma akka akka husband nu elarum thitranga priya,Non-Flirt
Jayaram amma solrathu dan ketkuran,Non-Flirt
Avlodhana... Matteruuu... Naa kooda bayandhuten...,Non-Flirt
Namma kittadha iruku avangala   Namma side yosikka vekradhuku,Non-Flirt
Free irundha sollu,Flirt
I'll call yu,Non-Flirt
Inga elarume thitranga priya,Non-Flirt
Kashtama iruku,Non-Flirt
Inna Inna nelamaila iruka,Non-Flirt
Conceive ah illanalum paravala... Indha tym la ne ipdi thaniya vandhadhu,Non-Flirt
Enga amma appa ila priya.. avanga veetla thitranga nu dan sandai ye,Non-Flirt
Atha pathi avanga kavala padalaye,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
2 weeks back night shift enaku 3 days.. so came to mom's home stayed here for 4 nights...,Non-Flirt
Aama ... I knew,Non-Flirt
Adhuku Inna vam,Non-Flirt
Iru de,Non-Flirt
Athuku next week i had crampings,Non-Flirt
Ok,Non-Flirt
Office work pakriya,Non-Flirt
Jayaram daily vanthu parthutu ponan,Non-Flirt
Ma mom doesn't like me staying here,Non-Flirt
Ini naa stay pana maten,Non-Flirt
Athum panitu iruken side la,Non-Flirt
Yyyy,Non-Flirt
Thaniya veedu paru nu soliten,Non-Flirt
Athu epdi apdi soluva nee ena thitinanga,Non-Flirt
She don't like Jayaram coming to ma home first of all,Non-Flirt
Marg mudichitu 2 months la dan we stayed here for 1 night,Non-Flirt
Athuke moonjiya kamchite irunthanga,Non-Flirt
Marg aagi 5 months la enkuda sandai potu avanga amma Feb la irunthu veetlaye ila,Non-Flirt
Ela relatives veetukum poi ena vathi vechitu irukanga...,Non-Flirt
En ipdi behave panranga,Non-Flirt
Nedhachu badhiluku kepiya... Apdi edhachu vaarthaiya vitrukiya,Non-Flirt
Idhuvarikum .. adhana kovama irukanga,Non-Flirt
Aama,Non-Flirt
Hummmmm,Non-Flirt
Poor,Non-Flirt
Health ok va,Non-Flirt
Will call u after 1an hur,Non-Flirt
I found this *FLAMES* Love Calcualor. Results were so interesting. You sholud check this one...                                                          https://truelove.gamesoa.com/p2t3duc77,Flirt
Sambavam paniruka polaye🤣,Non-Flirt
Pannamaiya indha 6 years irundhrukum...,Non-Flirt
,Non-Flirt
Poor,Non-Flirt
Dee,Non-Flirt
🤣🤣naa nethu yetho nadanthuchonu keten,Non-Flirt
Hey Priya,Non-Flirt
Manase sarila de,Non-Flirt
Inna aachi,Non-Flirt
En nathanar and mamiyar thinking that I'm fooling my husband,Non-Flirt
Atha solavum solranga,Non-Flirt
Ava una yemathra naduchi,Non-Flirt
Avala nambatha nu,Non-Flirt
Nathanar pinged him,Non-Flirt
He didn't show me or ask me anything,Non-Flirt
Edhukaga... Thaniya ponum nu sonnadhukagava,Non-Flirt
Yes..,Non-Flirt
Y,Non-Flirt
I told that his mom's character and mine will not go well nu,Non-Flirt
I dunno..,Non-Flirt
Neeyae pathiya appo,Non-Flirt
Yes..,Non-Flirt
They use to chat everyday,Non-Flirt
Last night she pinged him like that,Non-Flirt
Naa purpose full uh parkala,Non-Flirt
I was using phone to talk to my parents,Non-Flirt
Adhu ok...,Non-Flirt
Since my phone was runing out charge,Non-Flirt
Manase sarila,Non-Flirt
Yen ipdi kalachi vidranga,Non-Flirt
<Media omitted>,Non-Flirt
Look at their mindset,Non-Flirt
Athan manasu ku kashtama iruku,Non-Flirt
<Media omitted>,Non-Flirt
June 30th.. June 28th flight naga,Non-Flirt
*anga,Non-Flirt
<Media omitted>,Non-Flirt
Actually he convinced me saying let's be together foreva... I was also okay.. Naa thaniya ve poga venanu nenachitu irunthen but avan kita solala.. nethu avanga ipdi pesinathum bayama iruku... Till baby i cant move out,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Jayram neva wanted to go alone... Athanala i directly informed this to his mom,Non-Flirt
Palagikanum,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Sonnadhu un mamiyar ah illa naathanaar ah,Non-Flirt
Mamiyar,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Unmai dan.. we can't prove someone who already made up their mind...,Non-Flirt
Avanga kudutha necklace elam with her only,Non-Flirt
<Media omitted>,Non-Flirt
So will not get it back,Non-Flirt
Kayiru pothum,Non-Flirt
<Media omitted>,Non-Flirt
I don't want their money,Non-Flirt
<Media omitted>,Non-Flirt
Amma thitinanga,Non-Flirt
But Naa ketkala,Non-Flirt
Enaku venanu thonichu,Non-Flirt
<Media omitted>,Non-Flirt
Theriyathu avangaluku,Non-Flirt
<Media omitted>,Non-Flirt
Jayaram solalanu nenaikurrn,Non-Flirt
Apo avanga kulayum athe mind set dana irukun,Non-Flirt
Enaku kaasu vishayam elam soli kamicha pudikathu priya,Non-Flirt
Avangale panakarangala irukatum,Non-Flirt
Naanga engala mathiriye irunthukuron,Non-Flirt
<Media omitted>,Non-Flirt
Halooooo,Non-Flirt
Nethum enaku pesa ishtam ila dan..,Non-Flirt
Been 20 days,Non-Flirt
Pesinthuku enaku ithelam venum dan,Non-Flirt
Enga kuda pesina engala yematha mudiyathunu dan ava enga kuda pesamatra,Non-Flirt
Nee yemanthu pora.. be aware of her activities nu solranga,Non-Flirt
Kozhuppu rombha ve adhiga ma iruku...,Non-Flirt
Seri idhukulam .... Jayram oda badhil Inna...,Non-Flirt
Yes they are.. panakaranga naanga poor nu engala adimai mathiri nadaka solranga,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
I literally started to cry,Non-Flirt
Aluthute pesinen romba kashtama iruku neenga pesarthu nu sonen,Non-Flirt
<Media omitted>,Non-Flirt
Vaarthaiya vita kashtamnh,Non-Flirt
Jayram kita soli azhuthen night elam..,Non-Flirt
Next day onnume nadakatha mathiri he started his office work,Non-Flirt
Athan amma veetuku ponen,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Vandhana vum ithan sonan,Non-Flirt
Apove neenga yaru itha pesanu ketkalamnu,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Lost ur voice,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Jayram pesinalum naa kekureb avala nu direct uh enkita dana panjayathu nadakuthu,Non-Flirt
Avlo samarthiyam Jayaram iruntha yen ipdi elam nadaka pothu,Non-Flirt
Jayram is a puppet priya..,Non-Flirt
He dances for me as well as for then,Non-Flirt
He dunno to decide and stop the problem,Non-Flirt
<Media omitted>,Non-Flirt
Instead he develops,Non-Flirt
<Media omitted>,Non-Flirt
Sure.. im struggling alone here..,Non-Flirt
Hmm,Non-Flirt
Antha days dana poratama iruku..,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Intha audio kekala de,Non-Flirt
Kashtam dan..,Non-Flirt
Kozhanthaiya yaru parthupanganu therila if i goto office from next yr..,Non-Flirt
Sari atha apo parthukalam nu iruken,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Sure sure,Flirt
Romba feel elam panala.. but oru varutham irunthuchu,Non-Flirt
Seriously r yu ok now,Non-Flirt
Konjam yaarkitachu share pannalae padhi burden koranja madhiri dha irukum,Non-Flirt
Yes.. let me not think abt them or their actions...,Non-Flirt
<Media omitted>,Non-Flirt
Ipothaiku I've to happy.. I'll be happy,Flirt
Parthen..,Non-Flirt
Reply panane,Non-Flirt
But kulichitu vanthu reply panen,Non-Flirt
<Media omitted>,Non-Flirt
Ena matter,Non-Flirt
<Media omitted>,Non-Flirt
Ha ha..,Non-Flirt
Ena vishayam,Non-Flirt
Naa nethu night la irunthu sema mood off,Non-Flirt
Ipo dan am back to normal,Non-Flirt
Btw pongal epdi vanthuchu,Non-Flirt
Adipavi...,Non-Flirt
Romba nalla vandhuchu...,Non-Flirt
,Non-Flirt
I tested positive,Flirt
,Non-Flirt
Adiyei ena solra,Non-Flirt
Yeah,Non-Flirt
Itha la nee first solirukanum,Non-Flirt
Hw r u?,Non-Flirt
COVID ILLAMA PREGNANCY,Non-Flirt
Gud,Non-Flirt
But,Non-Flirt
,Non-Flirt
Super..,Non-Flirt
Couple photo shoot confirm,Non-Flirt
<Media omitted>,Non-Flirt
Periods varardhukae innum 8 days iruku,Non-Flirt
Ok ok,Flirt
Doc ena solranga,Non-Flirt
Epdi ivlo seekram positive kamchidhunu semma shock aayitanga,Non-Flirt
Athan vayiru vali pola anaike..,Non-Flirt
Blood test or urnine,Non-Flirt
Good news seekerama varanum nu iruku,Non-Flirt
Jakarthaiya iru,Non-Flirt
Pain ah irukunu ... Vaginal scan pannanga...,Non-Flirt
Ippodhiku edhumae Namma start panna vendam...,Non-Flirt
Ippodha cell divide aagudham 10 days dha aayirkum nu sonnanga,Non-Flirt
Too too early.. take rest nalla.. don't do any hard works for a month,Non-Flirt
result vandhuchu ... Positive nu,Flirt
,Non-Flirt
Humm...,Non-Flirt
Nallathe nadakum,Non-Flirt
Class attn pannu ...,Non-Flirt
Apram pesalam,Non-Flirt
Enaku apdi dan aachu,Non-Flirt
Apram dan test pani positive,Flirt
Oh oh...,Non-Flirt
Wil call u after 6,Non-Flirt
Ok ok,Flirt
Bye,Non-Flirt
Really really happy,Flirt
,Non-Flirt
mee toooo,Non-Flirt
Selvam Devi.vcf (file attached),Non-Flirt
Yaar ivanga,Non-Flirt
Theriyama sent to u de,Non-Flirt
Jayaram ku anuparthuku pathila,Non-Flirt
,Non-Flirt
Hey ..,Non-Flirt
Poooor,Non-Flirt
How r yu,Non-Flirt
Hi de,Non-Flirt
Bought new mob,Non-Flirt
I'm goodnee,Non-Flirt
Gud,Non-Flirt
Ena mob... Naama jodi uh mob vanginom,Non-Flirt
Nee matum mathitiya,Non-Flirt
,Non-Flirt
Inna panradhu... motherboard  sethruchu,Non-Flirt
OnePlus la ya,Non-Flirt
Nambave mudila,Non-Flirt
Ipo ena vangiruka,Non-Flirt
Mmmm,Non-Flirt
SAMSUNG M51,Non-Flirt
<Media omitted>,Non-Flirt
Everything  is going gud la,Non-Flirt
Paara..,Non-Flirt
Super uh iruku de,Flirt
,Non-Flirt
Nethu eve dan solve aachu,Non-Flirt
Mamiyar landed at 2.30... fight started at 3,Non-Flirt
Avlo quick...,Non-Flirt
Nethu ma parents came home and sorted...,Non-Flirt
Thaniya poga kudathu nu over drama panitu irukanga...,Non-Flirt
Kandipaaa... Illanadha aachiryam,Non-Flirt
Ohhhhh... avloooo,Non-Flirt
Enga kuda sapda matangalam.. keta palagikurangalam,Non-Flirt
Ma parents came to invite me for 5rh month,Non-Flirt
Ohhh OK ok,Flirt
Athu nerla vanthu dan kupdanun nu vanthanga,Non-Flirt
Sema korai...,Non-Flirt
🤣🤣,Non-Flirt
Adhuku reaction?,Non-Flirt
Parunga unga munadiye epdi pesura nu sonanga...,Non-Flirt
Amma appa reaction eh kudukala,Non-Flirt
She is making me to say that i wont alone. Enga amma appa munadi sola veika she tried,Non-Flirt
Naa ithuku matum dan vaaiya thoranthen...,Non-Flirt
Reaction eh kudukalaiya‍,Non-Flirt
Appo unaku support  panranganu nanachikala,Non-Flirt
Atleast  oru act aachu kuduthrukalam la,Non-Flirt
Mmmmmm,Non-Flirt
Neenga advice panunga unga ponnuku sonanga...,Non-Flirt
Mmmmmmm....,Non-Flirt
Enaku en mappilai ponnu santhoshama iruntha pothum... Avabga santhoshama dan irukanga.. mappilai uh romba pudichiruku nu topic maathitanga..,Non-Flirt
Apram avangalum their happiness is imp more than everything,Flirt
But she won't let us go that easy...,Non-Flirt
Neraya drama waiting,Non-Flirt
Adhellam nadandhadha thrilling  ah irukum... free ah vidu,Flirt
Hmm i understood... SO not reacting much....,Non-Flirt
Hw r yu...,Non-Flirt
Scan ethachum poniya,Non-Flirt
This Friday enaku anamoly scan polamnu irukom...,Non-Flirt
Enna nadakumo,Non-Flirt
Inna nadakumoooo... nu en izhukura,Non-Flirt
She won't let jayram to see,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
<Media omitted>,Non-Flirt
Inniku scan eduka poriya,Non-Flirt
Nalaiku dan priya appointment,Non-Flirt
Tomo gng,Non-Flirt
Hummm,Non-Flirt
OK ok..,Non-Flirt
Wru,Non-Flirt
@Mom's,Non-Flirt
Kolapakkam,Non-Flirt
Yen poita,Non-Flirt
Adhu oru story,Non-Flirt
Amma kudaye irukalam la till 3rd month,Non-Flirt
Angayuma,Non-Flirt
Na 5 days dha appo irundhen,Non-Flirt
Omg,Non-Flirt
Anna 2 weeks irupanu sonaru,Non-Flirt
Jay spoke to anna pola,Non-Flirt
He told me,Non-Flirt
Yea... Inga kooptutanga..,Non-Flirt
Enavam,Non-Flirt
Ethachum func uh?,Non-Flirt
Na call ah solren,Non-Flirt
Mummy vizhundhutanga,Non-Flirt
3weeks rest,Non-Flirt
Pop potrukqnga,Non-Flirt
Adakadavule,Non-Flirt
Who's looking fa her,Non-Flirt
Ippo ammu chithi veetla irukanga,Non-Flirt
1 week ah Inga... Alachal,Non-Flirt
Enavo po,Non-Flirt
Ethachum nadanthute iruku manasu kashta padrathuku,Non-Flirt
Na fullah traveling  ladha iruken..,Non-Flirt
Summary back pain ah iruku,Non-Flirt
Kutty irukradhunala... mind ah tension agama  pathukuren...,Non-Flirt
Elam namba neram,Non-Flirt
U don't go,Non-Flirt
Stay at one place de,Non-Flirt
Don't take risk,Non-Flirt
Situation apdi amaiyudhu,Non-Flirt
Unaku theriyathathu ila.. jakarthaiya iru,Non-Flirt
Poooorna,Non-Flirt
Hi d3,Non-Flirt
At scan center,Non-Flirt
Ok,Non-Flirt
Bayapudadha,Non-Flirt
Be bold,Non-Flirt
Believe,Non-Flirt
Poorna,Non-Flirt
Hi de,Non-Flirt
Today report romba confused uh iruku,Non-Flirt
Nalaiku Nithya doc uh meet pana poren,Non-Flirt
Parthutu solren,Non-Flirt
Mmmm,Non-Flirt
Appointment  eppo,Non-Flirt
Ntng to worry nu solitanga,Non-Flirt
,Non-Flirt
Moonjiyaa paaru,Non-Flirt
Gud,Non-Flirt
But every 1 month scan panlamnu solranga,Non-Flirt
Hi,Non-Flirt
Hi de,Non-Flirt
I just contributed to the Fundraiser.,Non-Flirt
,Non-Flirt
Panidren de,Non-Flirt
Thanks a lot poor,Non-Flirt
U know this person?,Non-Flirt
He's my best guru ... & GUD FRIEND  OF MINE,Flirt
Ok fe,Non-Flirt
*de,Non-Flirt
Kandipa panren,Non-Flirt
Poooor,Non-Flirt
Hi de,Non-Flirt
Solu,Non-Flirt
Send your present  pic,Non-Flirt
<Media omitted>,Non-Flirt
Y de,Non-Flirt
Not in saree,Non-Flirt
Chudi la edukala ethume,Non-Flirt
This taken in july,Non-Flirt
1st week,Non-Flirt
OK,Non-Flirt
Chummadha,Non-Flirt
Light uh dan therithu vayiru,Non-Flirt
,Non-Flirt
Vandhana thoppai nu dan inum solra,Non-Flirt
6 months aachu already,Non-Flirt
Paakradhu kaga dha ketten,Non-Flirt
<Media omitted>,Non-Flirt
Ithu 4th month eduthen,Non-Flirt
Hummm... might be height Nala romba therila pola,Non-Flirt
Ipo intha dress elam fit aagala,Non-Flirt
Hmmm,Non-Flirt
purchase panniko,Non-Flirt
Ethuku waste,Non-Flirt
Office poratha iruntha paravala,Non-Flirt
Rombala weight  potta  madhiri  therila,Non-Flirt
En mamiyar xxl tops elam gave to me,Flirt
Ithu 4th month de,Non-Flirt
Ipo 80kg iruken,Non-Flirt
greattt,Non-Flirt
Oct 8th seemantham plannrd,Non-Flirt
Oh... ok ok,Flirt
Intha Invitation aachum nerla parthu thara pakuren,Non-Flirt
Hummm.... appo 3rd wave epdi irukunu pakalam,Non-Flirt
Week sollu,Non-Flirt
Now 22,Non-Flirt
*23,Non-Flirt
Unakum enakum 11 weeks difference,Non-Flirt
Nee 12 uh,Non-Flirt
Enaku ippo 11*3,Non-Flirt
2 months melaye diff varum,Non-Flirt
Nethudha check up ponen,Non-Flirt
Unaku Feb dana date,Non-Flirt
Nt scan?,Non-Flirt
Yeah ... next week ladha eduka sonnanga,Non-Flirt
Ne government la formalities  mudichitiya,Non-Flirt
Aama 12 weeks mudiyanum la,Non-Flirt
Yes,Non-Flirt
Rch I'd vangiten,Non-Flirt
OK ok,Flirt
Evlo days aachu,Non-Flirt
Utsav idhellam edhumae kadaiyadhu... so ellamae pudhusa iruku,Non-Flirt
Yes deepshi mummy also told,Non-Flirt
Avaluku last week dan vangi kuduthen,Non-Flirt
OK pooooor,Non-Flirt
U have to fill a form which will be available at the urban health center,Non-Flirt
<Media omitted>,Non-Flirt
Aiiii beautiful,Flirt
,Non-Flirt
Stay safe,Non-Flirt
Ne epdi iruka,Non-Flirt
Na nalaiku baby ku echo and ecg eduka poren,Non-Flirt
Nee rch I'd ku kuduthutiya?,Non-Flirt
Oh... enga poi,Non-Flirt
Cloud nine,Non-Flirt
Lister metropolis la thani thaniya rendu branch ponum nu solran to do echo and ecg,Non-Flirt
Ingaye rendum edukurangalam... Tomo neonatal cardio doc cmg nu appointment vangiruken,Non-Flirt
?,Non-Flirt
Na innum pola,Non-Flirt
Atha vangidu de..,Non-Flirt
Varathuku late aavum,Non-Flirt
Avar dha poi visarichitu vandharu,Non-Flirt
Mmmm,Non-Flirt
Server prob ne 2months odiduvanga,Non-Flirt
Enna covishield poda sollirkanga,Non-Flirt
Next week wed podaporen,Non-Flirt
Mmmm... ok ok will do,Flirt
Ena Nithya covaxin potuko nu sonanga...,Non-Flirt
Naa dec la potukurenu solten..,Non-Flirt
Humm....,Non-Flirt
Hum ok ok,Flirt
Un ishtam nu solitanga🤣,Non-Flirt
,Non-Flirt
Enaku fts elam edukala..,Non-Flirt
Yen unaku eduthanga de,Non-Flirt
Ketiya?,Non-Flirt
Inime eduka mudiyathame enala.. 17 weeks kula irukanumam,Non-Flirt
General  ah ellarukum edukradhu Dhana...,Non-Flirt
Utsav ku eduthanga,Non-Flirt
No,Non-Flirt
Edukala,Non-Flirt
Enaku Nithya elunthiye therila,Non-Flirt
*tharala,Non-Flirt
Hum...,Non-Flirt
Pregnancy ore myth uh iruju,Non-Flirt
*iruku,Non-Flirt
Oru oru doc oru oru criteri vechirkanga,Non-Flirt
Aalaluku onnu solringa..,Non-Flirt
How's ur current doc?,Non-Flirt
She's gud...,Non-Flirt
Enga Irukanga ?,Non-Flirt
I'm trusting  my body ... avlodha... endha doc ah irundhalum paravala,Non-Flirt
T Nagar,Non-Flirt
RR clinic,Non-Flirt
Next baby kum enakum antha trust varum nu nenaikuren,Flirt
K k,Non-Flirt
Hospital decided?,Non-Flirt
Yaara solra,Non-Flirt
Ivanga own hospital  construction  work mudinjircham,Non-Flirt
Enaku naane solikureb🤣,Non-Flirt
Ippo interior  poitrukam,Non-Flirt
Super,Flirt
Next yr kula ready aagidum apo,Non-Flirt
Athum tnagr dana?,Non-Flirt
So mostly anga Dhanu  nanaikuren,Non-Flirt
Sep 3 opening,Non-Flirt
Yea,Non-Flirt
Super.. nalla vishayam dan..,Non-Flirt
Hospital tAsk ila,Non-Flirt
Apdi illana... ivanga rainbow & cloud9 la pakrangalam,Non-Flirt
So apram decide pannikalamnu Vittom  innum months irukula,Non-Flirt
But ivanga varamatenu solitnaga,Non-Flirt
Seri de,Non-Flirt
Good night,Non-Flirt
